"","ccg_name","gp_code","fyr","fqtr","gp_size","male","edu_3rd","age_5","age_15","age_75plus","ch_nb","ae_visits"
"1","DA1","000FQ",201516,"Q1",12773,6221,1587,2132,1653,1096,146,416
"2","DA1","000FQ",201516,"Q2",12727,6195,1581,2103,1646,1103,146.3333333,403
"3","DA1","000FQ",201516,"Q3",12700,6178,1577,2096,1624,1122,146.3333333,395
"4","DA1","000FQ",201516,"Q4",12656,6142,1569,2092,1599,1122,142,402
"5","DA1","000FQ",201617,"Q1",12671,6160,1570,2100,1585,1116,144,421
"6","DA1","000FQ",201617,"Q2",12692,6160,1572,2111,1575,1116,135.6666667,402
"7","DA1","000FQ",201617,"Q3",12757,6199,1579,2145,1558,1129,134,400
"8","DA1","000FQ",201617,"Q4",12729,6194,1573,2149,1529,1122,135,422
"9","DA1","000FQ",201718,"Q1",12729,6174,1573,2152,1514,1116,136,445
"10","DA1","000FQ",201718,"Q2",12728,6152,1573,2175,1508,1121,136,435
"11","DA1","000FQ",201718,"Q3",12738,6157,1573,2179,1489,1123,136,409
"12","DA1","000FQ",201718,"Q4",12764,6157,1576,2219,1461,1132,137,443
"13","DA1","000FQ",201819,"Q1",12662,6112,1564,2194,1436,1139,134.6666667,451
"14","DA1","000FQ",201819,"Q2",12808,6185,1582,2258,1449,1147,125,429
"15","DA1","000FQ",201819,"Q3",12761,6162,1576,2246,1420,1141,125,409
"16","DA1","000FQ",201819,"Q4",12748,6170,1575,2242,1417,1133,125,422
"17","FA1","0010FN",201516,"Q1",10441,5106,1351,1600,1202,1079,146,362
"18","FA1","0010FN",201516,"Q2",10440,5119,1350,1595,1191,1079,146,327
"19","FA1","0010FN",201516,"Q3",10488,5132,1356,1618,1194,1082,147,324
"20","FA1","0010FN",201516,"Q4",10478,5123,1355,1607,1172,1098,147,340
"21","FA1","0010FN",201617,"Q1",10496,5136,1358,1617,1186,1098,147,371
"22","FA1","0010FN",201617,"Q2",10524,5154,1361,1620,1186,1118,146,348
"23","FA1","0010FN",201617,"Q3",10531,5139,1361,1607,1178,1133,148,351
"24","FA1","0010FN",201617,"Q4",10505,5127,1358,1587,1164,1128,147,365
"25","FA1","0010FN",201718,"Q1",10501,5125,1358,1584,1175,1117,145,364
"26","FA1","0010FN",201718,"Q2",10481,5121,1354,1577,1173,1106,145,352
"27","FA1","0010FN",201718,"Q3",10539,5140,1361,1584,1184,1126,146,355
"28","FA1","0010FN",201718,"Q4",10577,5151,1366,1605,1161,1128,148,369
"29","FA1","0010FN",201819,"Q1",10603,5165,1370,1599,1174,1135,149,390
"30","FA1","0010FN",201819,"Q2",10662,5195,1377,1612,1173,1142,173,384
"31","FA1","0010FN",201819,"Q3",10717,5224,1384,1623,1154,1159,175,377
"32","FA1","0010FN",201819,"Q4",10743,5229,1388,1623,1146,1171,175,386
"33","FA1","020IN",201516,"Q1",4921,2412,648,980,588,285,70,154
"34","FA1","020IN",201516,"Q2",4909,2410,648,984,570,291,76,165
"35","FA1","020IN",201516,"Q3",4997,2453,659,1008,580,297,76.33333333,153
"36","FA1","020IN",201516,"Q4",5056,2469,667,1028,582,306,78,159
"37","FA1","020IN",201617,"Q1",5147,2523,678,1043,585,310,81,153
"38","FA1","020IN",201617,"Q2",5206,2541,686,1052,583,321,81,167
"39","FA1","020IN",201617,"Q3",5280,2581,697,1057,582,338,81,182
"40","FA1","020IN",201617,"Q4",5321,2592,702,1056,580,356,83,180
"41","FA1","020IN",201718,"Q1",5388,2617,710,1066,591,367,85,187
"42","FA1","020IN",201718,"Q2",5482,2657,724,1081,595,376,73.33333333,183
"43","FA1","020IN",201718,"Q3",5884,2851,772,1152,627,417,73,169
"44","FA1","020IN",201718,"Q4",6392,3087,833,1286,708,425,76,219
"45","FA1","020IN",201819,"Q1",6490,3142,845,1302,729,429,76,220
